一级指标	二级指标	三级指标	四级指标	细分指标
治理（G）	G1 治理结构	G1.3 监事会	G1.3.2 监事会运作	G1.3.2.2 监事会议事规则
治理（G）	G1 治理结构	G1.3 监事会	G1.3.2 监事会运作	G1.3.2.3 监事会召开情况说明
治理（G）	G1 治理结构	G1.3 监事会	G1.3.2 监事会运作	G1.3.2.4 监事会意见采纳率
治理（G）	G1 治理结构	G1.3 监事会	G1.3.2 监事会运作	G1.3.2.5 监事会质询与提议次数
治理（G）	G1 治理结构	G1.4 高级管理层	G1.4.1 高级管理层人员构成	G1.4.1.1 女性高管占比
治理（G）	G1 治理结构	G1.4 高级管理层	G1.4.1 高级管理层人员构成	G1.4.1.2 高管平均任期
治理（G）	G1 治理结构	G1.4 高级管理层	G1.4.1 高级管理层人员构成	G1.4.1.3 高管离职率
治理（G）	G1 治理结构	G1.4 高级管理层	G1.4.2 高管工作与高管绩效	G1.4.2.1 高管培训情况
治理（G）	G1 治理结构	G1.4 高级管理层	G1.4.2 高管工作与高管绩效	G1.4.2.2 高管工作情况
治理（G）	G1 治理结构	G1.4 高级管理层	G1.4.2 高管工作与高管绩效	G1.4.2.3 高管绩效评价体系
治理（G）	G1 治理结构	G1.4 高级管理层	G1.4.3 高管激励	G1.4.3.1 高管薪酬办法
治理（G）	G1 治理结构	G1.4 高级管理层	G1.4.3 高管激励	G1.4.3.2 高管平均薪酬
治理（G）	G1 治理结构	G1.4 高级管理层	G1.4.3 高管激励	G1.4.3.3 高管持股情况
治理（G）	G2 治理机制	G2.1 合规管理	G2.1.1 合规管理体系建设	G2.1.1.1 合规经营制度
治理（G）	G2 治理机制	G2.1 合规管理	G2.1.1 合规管理体系建设	G2.1.1.2 合规管理体系
治理（G）	G2 治理机制	G2.1 合规管理	G2.1.1 合规管理体系建设	G2.1.1.3 合规管理培训
治理（G）	G2 治理机制	G2.1 合规管理	G2.1.1 合规管理体系建设	G2.1.1.4 合规管理有效性评估
治理（G）	G2 治理机制	G2.1 合规管理	G2.1.1 合规管理体系建设	G2.1.1.5 合规改进与纠正
治理（G）	G2 治理机制	G2.1 合规管理	G2.1.2 合规风险识别与应对	G2.1.2.1 合规风险识别与评估
治理（G）	G2 治理机制	G2.1 合规管理	G2.1.2 合规风险识别与应对	G2.1.2.2 合规风险应对机制
治理（G）	G2 治理机制	G2.1 合规管理	G2.1.2 合规风险识别与应对	G2.1.2.3 合规风险引致的损失情况
治理（G）	G2 治理机制	G2.1 合规管理	G2.1.3 客户隐私保护	G2.1.3.1 企业保护客户隐私的管理办法体系
治理（G）	G2 治理机制	G2.1 合规管理	G2.1.3 客户隐私保护	G2.1.3.2 发生客户隐私泄露情况
治理（G）	G2 治理机制	G2.1 合规管理	G2.1.4 数据安全	G2.1.4.1 企业保护数据安全管理办法体系
治理（G）	G2 治理机制	G2.1 合规管理	G2.1.4 数据安全	G2.1.4.2 数据安全培训
治理（G）	G2 治理机制	G2.1 合规管理	G2.1.4 数据安全	G2.1.4.3 发生数据泄露情况
治理（G）	G2 治理机制	G2.2 风险管理	G2.2.1 风险管理与控制体系	G2.2.1.1 风险管理与控制办法
治理（G）	G2 治理机制	G2.2 风险管理	G2.2.1 风险管理与控制体系	G2.2.1.2 风险管理与控制部门设置
治理（G）	G2 治理机制	G2.2 风险管理	G2.2.1 风险管理与控制体系	G2.2.1.3 重大风险识别与防范机制
治理（G）	G2 治理机制	G2.2 风险管理	G2.2.2 关联交易风险	G2.2.2.1 关联交易情况
治理（G）	G2 治理机制	G2.2 风险管理	G2.2.2 关联交易风险	G2.2.2.2 关联交易风险识别机制
治理（G）	G2 治理机制	G2.2 风险管理	G2.2.2 关联交易风险	G2.2.2.3 防范不当关联交易的程序与管理办法
治理（G）	G2 治理机制	G2.2 风险管理	G2.2.3 投资决策风险	G2.2.3.1 投资决策风险识别机制
治理（G）	G2 治理机制	G2.2 风险管理	G2.2.3 投资决策风险	G2.2.3.2 防范投资决策风险的程序与制度安排
治理（G）	G2 治理机制	G2.2 风险管理	G2.2.4 转型风险	G2.2.4.1 转型风险识别机制
治理（G）	G2 治理机制	G2.2 风险管理	G2.2.4 转型风险	G2.2.4.2 防范转型风险的程序与制度安排
治理（G）	G2 治理机制	G2.2 风险管理	G2.2.5 ESG风险	G2.2.5.1 ESG风险识别机制
治理（G）	G2 治理机制	G2.2 风险管理	G2.2.5 ESG风险	G2.2.5.2 防范ESG风险的程序与制度安排
治理（G）	G2 治理机制	G2.3 监督管理	G2.3.1 审计制度	G2.3.1.1 内外部审计制度
治理（G）	G2 治理机制	G2.3 监督管理	G2.3.1 审计制度	G2.3.1.2 内外部年度审计次数
治理（G）	G2 治理机制	G2.3 监督管理	G2.3.1 审计制度	G2.3.1.3 内外部审计意见
治理（G）	G2 治理机制	G2.3 监督管理	G2.3.1 审计制度	G2.3.1.4 内外部审计发现的问题及整改情况
治理（G）	G2 治理机制	G2.3 监督管理	G2.3.1 审计制度	G2.3.1.5 财务报告审计费用
治理（G）	G2 治理机制	G2.3 监督管理	G2.3.1 审计制度	G2.3.1.6 非财务报告审计费用
治理（G）	G2 治理机制	G2.3 监督管理	G2.3.2 问责	G2.3.2.1 问责制度规范
治理（G）	G2 治理机制	G2.3 监督管理	G2.3.2 问责	G2.3.2.2 问责数量
治理（G）	G2 治理机制	G2.3 监督管理	G2.3.3 投诉与举报	G2.3.3.1 员工投诉举报办法
治理（G）	G2 治理机制	G2.3 监督管理	G2.3.3 投诉与举报	G2.3.3.2 举报人保护办法
治理（G）	G2 治理机制	G2.4 商业道德	G2.4.1 商业道德遵守情况	G2.4.1.1 商业道德准则与规范
治理（G）	G2 治理机制	G2.4 商业道德	G2.4.1 商业道德遵守情况	G2.4.1.2 商业道德培训
治理（G）	G2 治理机制	G2.4 商业道德	G2.4.1 商业道德遵守情况	G2.4.1.3 因违反商业道德受处罚
治理（G）	G2 治理机制	G2.4 商业道德	G2.4.2 公平竞争	G2.4.2.1 公平竞争制度规范
治理（G）	G2 治理机制	G2.4 商业道德	G2.4.2 公平竞争	G2.4.2.2 公平竞争措施成效
治理（G）	G2 治理机制	G2.4 商业道德	G2.4.3 廉洁建设践行情况	G2.4.3.1 廉洁建设制度规范
治理（G）	G2 治理机制	G2.4 商业道德	G2.4.3 廉洁建设践行情况	G2.4.3.2 廉洁建设措施成效
治理（G）	G2 治理机制	G2.4 商业道德	G2.4.3 廉洁建设践行情况	G2.4.3.3 因贪污、欺诈、腐败所受处罚
治理（G）	G2 治理机制	G2.5 ESG管理	G2.5.1 ESG能力提升	G2.5.1.1 ESG治理架构
治理（G）	G2 治理机制	G2.5 ESG管理	G2.5.1 ESG能力提升	G2.5.1.2 ESG工作评价和绩效考核机制
治理（G）	G2 治理机制	G2.5 ESG管理	G2.5.1 ESG能力提升	G2.5.1.3 ESG培训
治理（G）	G2 治理机制	G2.6 组织建设与先进性教育	G2.6.1 党建	G2.6.1.1 党支部建设情况
治理（G）	G2 治理机制	G2.6 组织建设与先进性教育	G2.6.1 党建	G2.6.1.2 党建工作会召开情况
治理（G）	G2 治理机制	G2.6 组织建设与先进性教育	G2.6.1 党建	G2.6.1.3 党委理论学习情况
